Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),Environment:Site Wind Direction [deg](Daily),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wind Speed [m/s](Daily),GSHPCLG:Heat Pump Electric Power [W](Daily),GSHPCLG:Heat Pump Source Side Inlet Temperature [C](Daily),GSHPHEATING:Heat Pump Electric Power [W](Daily),GSHPHEATING:Heat Pump Source Side Inlet Temperature [C](Daily) ,THERMAL ZONE: BOX:Zone Mean Air Temperature [C](Daily)
 04/10,11.14201389,8.396820646,72.32986111,5.194791667,180.1736111,319.75,107.474537,32.79166667,2.452984251,0,13.11280552,0,13.11280552,14.40887359
 04/11,11.50277778,9.534427331,78.55555556,5.141319444,190.4166667,315.8402778,110.4513889,35.125,2.42773463,0,13.11812493,0,13.11812493,14.61621224
 04/12,13.01631944,10.74618088,77.72222222,3.392708333,149.1319444,330.6944444,107.0381944,61.95833333,1.602039243,0,13.12491365,0,13.12491365,15.01306627
 04/13,9.046527778,7.663379525,83.11805556,5.436458333,56.5625,318.1666667,89.40277778,12.625,2.567099419,0,13.1316033,0,13.1316033,14.59852962
 04/14,7.094097222,4.345088224,66.01736111,6.083333333,42.32638889,292.9131944,62.75231481,273.25,2.872554246,0,13.13820713,0,13.13820713,13.29618807
 04/15,8.333680556,6.350602601,76.15277778,4.088541667,51.73611111,305.9201389,79.42592593,176.2916667,1.930612229,0,13.14474299,0,13.14474299,13.39607546
 04/16,5.698611111,2.831192139,63.17361111,5.659027778,63.19444444,280.8645833,103.7847222,202,2.672196866,0,13.15122687,0,13.15122687,14.10115012
 04/17,3.770833333,1.17872687,62.73958333,5.537847222,65.52083333,279.4652778,122.8298611,94.83333333,2.614975324,0,13.15767021,0,13.15767021,13.47076183
 04/18,4.465625,3.077795836,80.60416667,4.032291667,243.4375,290.3993056,116.2858796,48.75,1.904050939,0,13.16408341,0,13.16408341,12.77336226
 04/19,3.428472222,1.755740095,75.32986111,6.899652778,156.5625,283.4444444,114.4305556,76.95833333,3.258020857,0,13.17047367,0,13.17047367,11.91451983
 04/20,2.74375,0.683001831,70.20833333,3.066319444,237.9861111,266.1875,110.9756944,146.875,1.447918182,0,13.17684721,0,13.17684721,11.78594636
 04/21,5.228472222,3.628958182,78.26041667,3.517361111,258.7152778,297.6215278,113.3506944,37.16666667,1.660900372,0,13.1832221,0,13.1832221,10.79381902
 04/22,6.613194444,3.123762491,57.1875,4.240972222,316.6666667,284.5798611,123.0381944,152.6736111,2.002590043,0,13.18961234,0,13.18961234,11.23815025
 04/23,7.151041667,4.534082471,68.96875,1.683333333,263.9583333,304.7743056,125.8009259,38.58333333,0.794871175,0,13.19599665,0,13.19599665,13.0618124
 04/24,8.832638889,5.692546183,64.27083333,3.105555556,195.3819444,307.7152778,132.6712963,31.04166667,1.466445501,0,13.20237641,0,13.20237641,14.18438159
 04/25,7.210763889,4.288181787,64.92013889,3.664930556,95.10416667,294.3888889,128.3113426,80.81944444,1.730582766,0,13.20875387,0,13.20875387,13.9787613
