Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),Environment:Site Wind Direction [deg](Daily),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wetbulb Temperature [C](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wind Speed [m/s](Daily),THERMAL ZONE: BOX:Zone Mean Air Temperature [C](Daily) 
 07/11,18.76388889,78.20486111,4.249652778,197.1180556,361.9791667,151.4722222,78.41666667,16.1802131,2.006689008,23.4585391
 07/12,15.59201389,75.6875,5.467013889,221.5625,350.1354167,153.96875,52.75,13.01483331,2.581527774,22.15174143
 07/13,16.790625,79.23263889,3.832291667,221.5972222,362.8611111,144.4050926,47.83333333,14.52648503,1.8096108,20.67933043
 07/14,17.54131944,64.24305556,3.375694444,268.5763889,347.9131944,87.67013889,303.7916667,13.24327207,1.594005273,21.24162411
 07/15,16.53506944,68.67361111,4.400347222,254.2361111,355.8645833,156.5092593,77.41666667,13.03801181,2.07784703,22.67672289
 07/16,16.00243056,67.30555556,3.481944444,261.3541667,341.2743056,148.9907407,84.25,12.34528157,1.644176597,22.33365724
 07/17,15.82743056,67.20833333,1.8625,252.5,336.9513889,133.4178241,47.79166667,12.19094609,0.8794738,21.92396618
 07/18,16.01805556,79.53472222,4.180208333,227.1527778,363.34375,134.6956019,92.75,13.71134118,1.973897293,21.7496761
 07/19,16.06944444,72.08333333,2.911458333,258.0902778,362.3402778,151.0185185,43.5,13.02801374,1.374792657,21.79151462
 07/20,16.32708333,69.47222222,2.483680556,280.7638889,352.3923611,155.9965278,57.45833333,12.92820173,1.172795692,21.09314492
 07/21,16.371875,70.65277778,1.470833333,236.7708333,348.7951389,144.119213,111.8333333,13.07540885,0.694528527,21.10499206
 07/22,17.23506944,74.06597222,2.418055556,134.2708333,344.78125,151.8472222,35.375,14.10208468,1.141807521,22.16438829
 07/23,17.06527778,79.51041667,3.812152778,185.2083333,350.1875,146.6053241,32.5,14.78151266,1.800101202,22.27044583
 07/24,14.57916667,80.57291667,3.757638889,244.5138889,332.1944444,150.5833333,89.29166667,12.55221968,1.774359706,21.26967447
 07/25,16.03819444,80.73263889,3.509722222,117.1527778,359.9965278,136.5972222,79,13.87537402,1.657293283,20.91402635
 07/26,17.80138889,76.91666667,2.364930556,210.7291667,363.4722222,139.03125,60.45833333,15.05595808,1.116721859,22.00875563
 07/27,18.34791667,74.75,2.599652778,225.3472222,357.3020833,119.3784722,193.7916667,15.27330442,1.227557856,21.94913733
 07/28,18.41493056,76.91666667,2.138888889,107.6388889,355.7673611,124.6423611,184.9166667,15.55930789,1.009984826,22.36097351
 07/29,20.59895833,63.51041667,4.136458333,89.375,360.8854167,99.21180556,231.7916667,15.53276077,1.953238512,23.89485469
 07/30,17.3,81.60416667,2.105902778,171.6666667,351.4270833,136.4895833,29.75,15.23784686,0.994408762,23.4779595
 07/31,17.61041667,77.34027778,3.315625,232.2222222,362.9201389,144.2048611,71.95833333,14.90948672,1.565640439,21.90816625
 08/01,16.24722222,66.23263889,3.878125,253.6458333,348.3645833,137.1805556,109.8333333,12.46363583,1.831253332,21.93096883
 08/02,15.92604167,66.10416667,2.300347222,295.6597222,350,145.8194444,57.125,12.20975646,1.086225564,21.86967896
 08/03,13.97361111,73.86458333,1.379861111,241.5277778,337.9548611,144.8576389,32.66666667,11.11431797,0.65157138,20.64132858
 08/04,16.57673611,62.79861111,2.563194444,102.5694444,331.2395833,106.0208333,250.375,11.67913841,1.210342206,20.69804994
 08/05,19.50104167,52.37847222,4.395833333,134.7569444,347.3159722,141.3703704,66.91666667,12.96960559,2.075715568,22.65075992
 08/06,16.11111111,76.11458333,3.383333333,176.4930556,353.3368056,120.8877315,48.41666667,13.4580744,1.597612361,22.28041268
 08/07,14.97326389,73.69444444,3.586111111,268.2986111,347.15625,103.0891204,147.5833333,12.07713469,1.69336417,21.33722167
 08/08,15.29340278,71.15625,3.496180556,194.9305556,336.9305556,134.0960648,31.83333333,11.97045338,1.650898899,21.32903754
 08/09,17.42361111,75.76388889,3.891666667,180.1736111,367.2118056,127.5115741,30.08333333,14.54144339,1.837647716,21.24961748
 08/10,15.92361111,81.54513889,4.184375,194.0972222,354.9618056,118.5011574,140.0833333,13.79800974,1.975864796,20.71883093
 08/11,15.47569444,83.66666667,2.708680556,54.93055556,353.2395833,134.1851852,31.91666667,13.64065712,1.279040849,19.8403083
